Completion Code (1=completed PhD; 2=left without PhD),Time to Degree,Time to Leaving,Discipline,Gender Code (1=F; 2=M),GRE V,GRE Q
1,5.00,,Non-Engineering,1,490,570
1,7.00,,Non-Engineering,1,500,650
1,6.00,,Non-Engineering,1,500,730
1,5.00,,Non-Engineering,1,500,760
1,3.00,,Non-Engineering,1,510,470
1,8.00,,Non-Engineering,1,510,630
1,6.00,,Non-Engineering,1,510,650
1,5.00,,Non-Engineering,1,510,650
1,5.00,,Non-Engineering,1,510,680
1,7.00,,Non-Engineering,1,520,590
1,10.00,,Non-Engineering,1,520,590
1,8.00,,Non-Engineering,1,530,570
1,6.00,,Non-Engineering,1,530,630
1,6.00,,Non-Engineering,1,540,530
1,6.00,,Non-Engineering,1,540,560
1,12.00,,Non-Engineering,1,540,580
1,4.00,,Non-Engineering,1,540,610
1,6.00,,Non-Engineering,1,540,650
1,6.00,,Non-Engineering,1,540,700
1,5.00,,Non-Engineering,1,540,730
1,4.00,,Non-Engineering,1,550,440
1,4.00,,Non-Engineering,1,550,690
1,5.00,,Non-Engineering,1,560,520
1,7.00,,Non-Engineering,1,560,570
1,6.00,,Non-Engineering,1,560,570
1,5.00,,Non-Engineering,1,560,600
1,5.00,,Non-Engineering,1,560,630
1,6.00,,Non-Engineering,1,560,640
1,9.00,,Non-Engineering,1,570,510
1,7.00,,Non-Engineering,1,570,530
1,7.00,,Non-Engineering,1,570,590
1,5.00,,Non-Engineering,1,570,640
1,5.00,,Non-Engineering,1,570,740
1,5.00,,Non-Engineering,1,570,790
1,8.00,,Non-Engineering,1,580,580
1,5.00,,Non-Engineering,1,580,590
1,6.00,,Non-Engineering,1,580,670
1,5.00,,Non-Engineering,1,580,730
1,8.00,,Non-Engineering,1,590,590
1,8.00,,Non-Engineering,1,590,760
1,7.00,,Non-Engineering,1,600,600
1,8.00,,Non-Engineering,1,600,680
1,4.00,,Non-Engineering,1,600,680
1,6.00,,Non-Engineering,1,600,720
1,7.00,,Non-Engineering,1,610,600
1,7.00,,Non-Engineering,1,610,720
1,6.00,,Non-Engineering,1,610,760
1,7.00,,Non-Engineering,1,620,590
